User_Name,Rating,Rating_Title,Reviewed_Date,Review_Context,Helpful_Count
Mukesh leve,5.0 out of 5 stars,ZakaaaaaaaaaaaS,Reviewed in India on 8 November 2019,<span>💝 Awesome mobile in this price.<br>💝 Value of money<br><br>🎁 Display : 5/5<br>🎁 build quality : 5/5<br>🎁 Camera : 5/5<br>🎁 Buttery : 4.5/5<br>🎁 Screen : 4/5<br>🎁 Sound : 4.5/5<br>🎁 Tuch : 4/5<br>🎁 Performance : 4/5<br>💐 All-over  4.2/5</span>,"1,897 people found this helpful"
sanower ali warsi,3.0 out of 5 stars,friensds Read my review before by ones..,Reviewed in India on 10 November 2019,<span>after using 17 days ..i would like to say ..if you are thinking To by this phone for processors then go for it...i am giving 3-star just for running smoothly..but if you thinking to by for Quad camera then its Bad decission like me...( No detailing in long distance subject in Image..if you go for more than 4x zoom image quality Die..slow motion video not support to take long time..as well micron lense not professional ..)<br>presently i am not happy with camera.. Hope for Future update...</span>,
Mohammed Abdul Rahman ,4.0 out of 5 stars,Just buy this Beast.,Reviewed in India on 9 November 2019,"<span>I dont know why some people giving less stars,<br>Let me give my review after using since 15 days.<br>Divided this review in pros and cons.<br>Pros:<br>1.Finger print and face unlock is super fast.<br>2. Touch is smooth.<br>3. IPS Display which is HDR Enabled is upto the mark.<br>4. Beautiful colours available i am using Gamma Green.<br>5. Feel and Look is just awesome.<br>6. Notch Display.<br>7. Ram and internal Memory.<br>8. Processor is super fast.<br>9. All 4 Camera working perfectly, i love macro camera.<br>10. Beast for Gaming.<br>11. Build quality is awesome just side with plastic xiomi can give metal at sides.<br><br>Cons:<br>1.While watching YouTube,<br>video quality is poor, why!!! i don't understand as in other videos it is good.<br>2. While playing games or doing heavy task temperature warm at processor side (which is left side of camera).<br>This 2 things xiomi can fix by software updates.<br>One less star just for this 2 cons.</span>",
praveen,1.0 out of 5 stars,"Bad performance,",Reviewed in India on 6 November 2019,"<span>Worst phone, lot of problems</span>","1,491 people found this helpful"
Amazon Customer,4.0 out of 5 stars,Performance is good,Reviewed in India on 7 November 2019,<span>Battery:good<br>Screen:good<br>Gaming:good<br>Camera:for camera i will give 3.5<br>While gaming it won't heat</span>,
Soumalya,2.0 out of 5 stars,Heating problem,Reviewed in India on 9 November 2019,<span>Huge heating problem. Right side of the camera is heating without playing any game ...</span>,298 people found this helpful
Mohsin Bhatti,5.0 out of 5 stars,Awesome value for money.,Reviewed in India on 6 November 2019,"<span>one of the best mobile under this price. This phone is awesome. I have 5 start. to light weight, great feature, photo quality with ultra wide angel, micro &amp; 64 megapixel is awesome. I so lucky I got this phone on First sale with 10% discount. After using more than 3 weeks, I didn't find any issue. Battery backup is awesome, I usually charge only one time in day. after heavy use of internet, gaming like PUBG, call of duty, videos and watching online movies, still Battery backup good. Liquid cooling technology is good, after playing PUBG continually more than 2 hours, mobile little bit heat. but just rest of 3 or  5 minute, mobile get cool. Overall this phone is awesome which give separate nano sim support means we can insert two sim in different slot.</span>",272 people found this helpful
sushil,4.0 out of 5 stars,Best in this range.,Reviewed in India on 7 November 2019,<span>Very good phone. Picture quality is amazing.</span>,
Alok Raghav,1.0 out of 5 stars,Worst smartphone ever by redmi.,Reviewed in India on 6 November 2019,<span>Camera is very poor.<br>Device set-up is also difficult.<br>Battery draining fast.<br>No replacement policy.<br>Please don't buy this phone<br>In this price range you can go for Samsung galaxy M30s.</span>,675 people found this helpful
Santhosh Kumar P,3.0 out of 5 stars,Good one but network problem,Reviewed in India on 6 November 2019,"<span>I have purchased this mobile recently, I'm facing network problem in Bangalore city, using JIO sim. while speaking on call network breaks. Network problem need to be stabilized. Other than that No problem. 4 Cameras are awesome. Performance also very good.</span>",209 people found this helpful
Amazon Customer,1.0 out of 5 stars,Worst Camera,Reviewed in India on 10 November 2019,"<span>Camera is very very bad, This is not a real 64MP Camera. They are cheating us in name of 64MP camera</span>",199 people found this helpful
pankaj s.,1.0 out of 5 stars,Issues with video calling.,Reviewed in India on 7 November 2019,<span>Has issues  with video calling. Incoming video images are not clear &amp; scattered.<br>👎<br>Check this before buying.</span>,194 people found this helpful
kamal roy,1.0 out of 5 stars,Don't waste your money,Reviewed in India on 7 November 2019,"<span>I have noticed so many bugs/issues in this device...<br>1. network signal weak ,data speed slow.<br>2 heating issue: back side become over heat at the time of talking photos and videos just within 5 to10 minutes.<br>3. Battery draining fast when I using camera for talking photos as well as videos.<br>4. camera need improvement 64MP camera that makes me a big Fool its just like my old Asus max Pro m1 16MP camera.<br>Xiaomi team if u r listening plz plz solve those issues by software updates.</span>",178 people found this helpful
Abhiishek Mohta,5.0 out of 5 stars,The Redmi Note 8 Pro is powered by the MediaTek G90T gaming processor.,Reviewed in India on 9 November 2019,"<span>Redmi Note 8 Pro Specifications:<br><br>6.53-inch full HD+ (1080p) display | MediaTek G90T octa-core processor | 6GB or 8GB RAM with 64GB or 128GB storage with expandable storage support up to 512GB |  64MP main camera + 8MP ultra-wide + 2MP macro + 2MP depth camera + 20MP camera | 4500 mAh battery with 18W fast charging | MIUI 10 with Android Pie (9) |<br><br>Redmi Note 8 Pro Review: Camera<br><br>This is the part which Xiaomi is hyping up, given there’s a 64MP camera out here. The automatic resolution is 16MP. The camera produces bright photos with accurate color tones, even at night. The selfies are impressive on this phone, and it creates a nice depth in Portrait mode, though it is not all perfect with edges on the hair.<br><br>Redmi Note 8 Pro Review: Performance, battery<br><br>Games like Asphalt 9, Badland, Nova Legacy all ran without any hitches. I switched Asphalt 9 to high graphics settings and the phone had no problems handling it. The graphics looked smooth without any lag. In regular usage, be it just browsing on social media or using the phone to edit photos to keeping 20 tabs open on Chrome, the experience was smooth.<br><br>The only issue I noticed, the phone also got warm around the top when gaming for too long. On the battery front, the Redmi Note 8 Pro has a 4500 mAh battery. The 18W fast charger ensures a full charge in under two hours. With moderate usage, you can go up to two days on this phone, while heavy-duty usage means around one and a half days on the device.<br><br>The Redmi Note 8 Pro runs MIUI 10 based on Android Pie. Xiaomi has said it will get MIUI 11 by the end of December. It does come with Alexa pre-loaded, though Google Assistant is there as well.<br><br>Redmi Note 8 Pro Review: Design, Display<br><br>The Redmi Note 8 Pro has a curved back design, though this is a broad and bulky device compared to the previous variant. One reason is the bigger battery. Redmi Note 8 Pro also has a bigger display at 6.53-inches, with the full HD+ resolution. The curved back means it is easier to hold this with one hand, but the size of the device might not always make it possible.<br><br>The positioning of the fingerprint sensor right at the bottom of the camera module is not ideal either, because you will end up touching the lens like I did and covering it with smudges. The macro camera is placed away from the other three sensors to the right with flash on top of it. The idea here is to let people use flash to add more light when using macro shots.<br><br>The display on the Redmi Note 8 Pro continues to be one of the best for its price. It does come with Widevine L1 certification you can stream content at HD or full HD on YouTube, Netflix, etc. The viewing angles are good, and this is a sharp display, which works well in most scenarios.</span>",
Sreenivasa Reddy,2.0 out of 5 stars,Facing heat issue and picture quality is low,Reviewed in India on 6 November 2019,"<span>I observed that this phone is getting heat when you use more than 5-10 min for calls/camera/ video. Also the picture quality is low.Not sure whether I received any faulty device and ordered for replacement, lets observe new device.</span>",
AJIT KUMAR MISHRA,5.0 out of 5 stars,The best phone,Reviewed in India on 9 November 2019,<span>The best phone seen in my life which fulfils every requirement of a person it has the best:<br>Camera<br>Speed<br>Display<br>Storage<br>Processor</span>,134 people found this helpful
Vishnu AD,4.0 out of 5 stars,Nice phone,Reviewed in India on 8 November 2019,<span>Nice phone but Alexa not properly working</span>,133 people found this helpful
Vishal Kumar,2.0 out of 5 stars,Front camera verry bad,Reviewed in India on 6 November 2019,<span>Front camera verry bad</span>,123 people found this helpful
Aman Singh,4.0 out of 5 stars,[Excellent Gaming phone under 15K] Save money don't buy overpriced phones just for showing off,Reviewed in India on 10 November 2019,"<span><div id=""video-block-RYXR7PX78G01W"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/91jOGjJEcOS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/71O2CgT7oZS.png"" class=""video-slate-img-url""><br>Most awaited gaming  budget smartphone in 2019<br><br>⚫ Display: 3.5/5<br> 6.53 HDR Inch Display but it could be FHD as most of the new launches are loaded with FHD in the above price segment. So, FHD could be one of the turning points.<br><br>⚫ Build quality: 5/5<br> It looks like an ultimate beast and powered with splash-proof design &amp; Dual Corning Gorilla Glass 5. That secures your smartphone even after falling from 4 fts.<br><br>⚫ Camera: 5/5<br> The camera is one of the main attraction points for this smartphone as it first Xiaomi quad-camera phone with 4K video recording &amp; 8k resolution for crystal clear images.<br><br>⚫ Battery: 4/5<br> As the smartphone built for Gamer. So, the battery is one of the key factors to let gamers enjoy gaming without worrying about their charging all though it offers 18W fast charging. Although smartphone packed with 4500 mAh battery which is fine with the price offered.<br><br>⚫ Screen size: 4/5<br>  Giving 91.4% Screen to body ratio which is easy to handle while playing intense gaming. where controls depend upon your phone grip.<br><br>⚫ Sound: 2.5/5<br>  Not sure what kind of technologies they're using as the speaker stopped working within 4 days. after which I have to place replacement which is a matter of concern for me as well others who are planning to buy it.<br><br>⚫ Performance: 4/5<br> As they advertise ""Built for Gamers"". It truly stands on their statement with its performance &amp; Helio G90T it is way above in term of performance then snapdragon series 712. Liquid cooling ensures the game runs smoothly without heating. I have heard Wifi X antenna for the first time but it works fine with during gameplay.</span>",
Veerababu,1.0 out of 5 stars,Disappointed !!!,Reviewed in India on 15 November 2019,"<span>People will regret after buying this mobile.<br>Cons:<br>1. The heating issue, even if you install apps, the mobile is getting heat.<br>2. No L1 Support, even if it shows, Amazon Prime and Netflix is not supported HD.<br>3. Call Quality issues.<br>4. Don't trust reviewers guys, the green color looks, So cheap. If you guys buying better go with White color or black.<br>5. Camera Quality is average.<br><br>overall , its a bad purchase.</span>",114 people found this helpful
Amazon Customer,1.0 out of 5 stars,I bought it for photography...very disappointed,Reviewed in India on 8 November 2019,<span>Worse camera...my old phone 13 mp camera  far better from this</span>,118 people found this helpful
Akshaya,3.0 out of 5 stars,Average Phone,Reviewed in India on 6 November 2019,<span>Average Phone with better camera but I don't find any speciality</span>,115 people found this helpful
RADHA RANI DAS,5.0 out of 5 stars,Best ever mobile ever baught ... ❤❤✌✌,Reviewed in India on 11 November 2019,"<span>Best mobile I ever Purchcsed. ✌✌<br>1.)Camera: Quad cam 64 ,8,2,2 mp. Very good quality.2. )Battery: 2 day full support with internet on and gaming.<br>3.)Processor: best till date.4)Looking: Gamma green is the best I give 200 out of 100.<br>5)sound quality is very good.💕💕<br><br>After 1 month again it is 5 star..✨✨✨✨✨</span>",
Preeti jain,5.0 out of 5 stars,Perfect phone super camera excellent,Reviewed in India on 6 November 2019,<span>Super phone value for money an many more good phone and photos super bro.... Excellent phone Redmi note 8pro i like it since using from 15days super Bowl</span>,
Nikhil Sarja,1.0 out of 5 stars,Not worth to money waste of money,Reviewed in India on 7 November 2019,<span>Plz dnt buy redmi note 7 pro camera is better than redmi note 8 pro</span>,
Amazon Customer,5.0 out of 5 stars,Love this one,Reviewed in India on 8 November 2019,<span>I always love to use Xiaomi's every product<br>And this Redmi note 8 Pro is too amazing ♥️</span>,89 people found this helpful
Arshad Shaikh ,3.0 out of 5 stars,Hanging Issue,Reviewed in India on 6 November 2019,<span>i got this on 1st sale but after using few days i faced hanging issue while using Tik Tok and Carrom Pole game.<br>Camera quality is good but slow motion video quality is not better  than 7 Pro. Body look is good.</span>,82 people found this helpful
Kiran pawar,5.0 out of 5 stars,Redmi Note 8 pro Beast Excellent Mobile,Reviewed in India on 7 November 2019,<span>Redmi 8 pro excellent Mobile with power full camera and powerful battery life.</span>,
Akhil Kumar bhowmik,1.0 out of 5 stars,Sensor is not work,Reviewed in India on 7 November 2019,<span>I was purchased 22oct. And i am facing a problem with my phone is promextiry sensor is doesn't work. Then i am not call or talk properly...</span>,78 people found this helpful
