Customer_Ratings1star,Customer_Ratings2star,Customer_Ratings3star,Customer_Ratings4star,Customer_Ratings5star,P_Description,P_MRP,P_Name,P_Price,P_Rating,P_Ratingcount,P_Title,P_Url,Seller_Name,Seller_Url,Technical_Specification,You_Save
10% of reviews have 1 stars,4% of reviews have 2 stars,9% of reviews have 3 stars,26% of reviews have 4 stars,51% of reviews have 5 stars,"boAt BassHeads 100 Stereo In-Ear Earphones are designed to give you an experience which no other product can match. As the headphones feature 10mm drivers, they give you clear sound with that enhanced bass. In built noise isolation mic ensures you don’t miss those important calls. With two exciting colours that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry the “Hawk Attitude”. Just plug them in and plug into Nirvana. For Warranty and Product Related Queries, please contact on info@imaginemarketingindia.com (+912249461882). Impedance: 16 ohms",999.00,boAt BassHeads 100 in-Ear Wired Headphone Information,399.00,4.0 out of 5 stars,"69,111 ratings","boAt BassHeads 100 in-Ear Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired Design and Perfect Length Cable (Black)",https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?dchild=1&qid=1594237116&s=electronics&sr=1-1&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'BassHeads 100'), ('Model Name', 'BassHeads 100'), ('Model Year', '2017'), ('Item Weight', '40.8 g'), ('Product Dimensions', '120 x 0.1 x 0.2 cm'), ('Item model number', 'BassHeads 100'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Additional Features', 'In-Ear'), ('Included Components', 'Earphones, Extra Earbuds'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired')],)",600.00 (60%)
10% of reviews have 1 stars,4% of reviews have 2 stars,9% of reviews have 3 stars,26% of reviews have 4 stars,51% of reviews have 5 stars,"boAt BassHeads 100 Stereo In-Ear Earphones are designed to give you an experience which no other product can match. As the headphones feature 10mm drivers, they give you clear sound with that enhanced bass. In built noise isolation mic ensures you don’t miss those important calls. With two exciting colours that match your style in your day, the boAt earphones are the ideal choice for anyone who can carry the “Hawk Attitude”. Just plug them in and plug into Nirvana. For Warranty and Product Related Queries, please contact on info@imaginemarketingindia.com (+912249461882). Impedance: 16 ohms",999.00,boAt BassHeads 100 in-Ear Wired Headphone Information,399.00,4.0 out of 5 stars,"69,111 ratings","boAt BassHeads 100 in-Ear Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired Design and Perfect Length Cable (White)",https://www.amazon.in/boAt-BassHeads-100-Headphones-White/dp/B07234XXJF/ref=sr_1_20?dchild=1&qid=1594237116&s=electronics&sr=1-20&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'BassHeads 100'), ('Model Name', 'BassHeads 100'), ('Item Weight', '13.6 g'), ('Product Dimensions', '120 x 0.1 x 0.2 cm'), ('Item model number', 'BassHeads 100'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Additional Features', 'In-Ear'), ('Included Components', 'Earphones, 3 Extra Earbuds'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired')],)",600.00 (60%)
9% of reviews have 1 stars,4% of reviews have 2 stars,8% of reviews have 3 stars,26% of reviews have 4 stars,54% of reviews have 5 stars,"Get ready to redefine fitness fashion and utility with the boAt Bassheads 242, it’s time to get your sport on. It carries ear hooks that are crafted from silicon to maximize comfort and a secure fit that allows you to maximize your workouts. Coated with IPX 4 sweat and water protection, the Bassheads 242 emphasizes on all around ability with 10mm drivers that reproduces a quality sound. Move around freely with the superior coated cable that reaches comfortably from your pocket till your ears. Connect to a number of devices with ease using the 3.5mm straight jack, because there’s no stress, only sweetness when you’re riding the waves on this boAt. You can tune in and out with the pause/play button that can also take calls (With In-line Mic.) and control volume in-between exercise reputations. Lead your fight to fitness in style with the boAt Bassheads 242, its time to get your sport on!","1,490.00",boAt Bassheads 242 Wired Sports Headphone Information,549.00,4.1 out of 5 stars,"7,530 ratings","boAt Bassheads 242 Wired Sports Earphones with HD Sound, 10 mm Dynamic Drivers, IPX 4 Sweat and Water Resistance, Superior Coated Cable & in-Line Mic (Active Black)",https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_22?dchild=1&qid=1594237116&s=electronics&sr=1-22&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Boat'), ('Model', 'Bassheads 242 Black'), ('Model Name', 'Bassheads'), ('Item Weight', '13.6 g'), ('Product Dimensions', '19 x 7.8 x 17.3 cm'), ('Item model number', 'Bassheads 242 Black'), ('Compatible Devices', 'All 3.5mm Jack device'), ('Additional Features', 'earbud'), ('Included Components', 'Earphones, Earbuds, User Manual'), ('Number Of Items', '1'), ('Microphone Form Factor', 'In-Line;Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Has Self Timer', 'No')],)",941.00 (63%)
15% of reviews have 1 stars,5% of reviews have 2 stars,11% of reviews have 3 stars,25% of reviews have 4 stars,43% of reviews have 5 stars,Enjoy handfree calls with philips earphones. 3 interchangeable rubber caps for optimal fit in all ears. Perfectr in-ear seal blocks out external noise. A 1.2 M long cable that is ideal for outdoord use.,399.00,Philips SHE1505BK/94 Upbeat Headphone Information,299.00,3.7 out of 5 stars,"3,449 ratings",Philips SHE1505BK/94 Upbeat Earphones with Mic (Black),https://www.amazon.in/Philips-SHE1505BK-94-Upbeat-Earphones/dp/B07MZQ5F8S/ref=sr_1_18?dchild=1&qid=1594237116&s=electronics&sr=1-18&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'PHILIPS'), ('Model', 'SHE1505BK/94'), ('Model Name', 'Philips Earphone'), ('Item Weight', '36.3 g'), ('Product Dimensions', '18.5 x 7 x 2.5 cm'), ('Item model number', 'SHE1505BK/94'), ('Compatible Devices', 'All Android Phone'), ('Additional Features', 'philips earphone with mic'), ('Included Components', 'Earphone'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Material', 'Rubber')],)",100.00 (25%)
9% of reviews have 1 stars,3% of reviews have 2 stars,8% of reviews have 3 stars,26% of reviews have 4 stars,53% of reviews have 5 stars,"Xiaomi has customized Mi Earphones Basic just for India, giving customers what they were looking for- Ultra deep bass and tangle free wires. The Headphones come with silicone earbuds that are specifically designed to ensure it fits snugly without compromising comfort. Cable length:1.25m",599.00,Mi Headphone Information,399.00,4.1 out of 5 stars,"47,715 ratings",Mi Earphone Basic with Ultra deep bass and mic (Red),https://www.amazon.in/Mi-Earphones-Basic-Mic-Red/dp/B07C9GHXFW/ref=sr_1_21?dchild=1&qid=1594237116&s=electronics&sr=1-21&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Mi'), ('Model', 'YDJC01JY'), ('Model Name', 'Mi Earphones Basic'), ('Item Weight', '13.6 g'), ('Package Dimensions', '18.4 x 8.4 x 2.8 cm'), ('Item model number', 'YDJC01JY'), ('Compatible Devices', 'Android and iOS devices (Mobile, Tablet, Laptop &amp; Audio Player)'), ('Additional Features', 'Ultra deep bass in-ear with high quality silicone earbuds, Super Extra Bass, Powerful 10mm Drivers, HD Clear Sound, In-Line Microphone, Play/Pause your music, Change your tracks and Ans/end your calls, Passive Noise Isolation'), ('Included Components', 'Earphones and Earbud Tips'), ('Number Of Items', '1'), ('Microphone Form Factor', 'Built-In'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Material', 'Plastic, Aluminum'), ('Has Self Timer', 'No')],)",200.00 (33%)
19% of reviews have 1 stars,6% of reviews have 2 stars,11% of reviews have 3 stars,23% of reviews have 4 stars,42% of reviews have 5 stars,"The new JBL C50HI is a dynamic, ultra-lightweight in-ear headphone. Its powerful 8.6mm drivers deliver the feel-it-in-your-bones bass response and legendary sound quality you expect from JBL. They’re feather-light for all-day comfort. An in-line microphone with universal remote control lets you talk and manage your calls on Android and iOS devices. Driver size 8.6mm; Frequency range 20-20kHz; Impedance 30±4.5 ohms; Driver sensitivity 101±3dBSPL, 1mW; Maximum SPL 10mW; Rated power input 3mW; Cable length 1.2M",999.00,JBL C50HI in-Ear Headphone Information,499.00,3.6 out of 5 stars,"23,615 ratings",JBL C50HI in-Ear Headphones with Mic (Black),https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_16?dchild=1&qid=1594237116&s=electronics&sr=1-16&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'JBL'), ('Model', 'C50HI'), ('Model Name', 'C50HI'), ('Item Weight', '13.6 g'), ('Product Dimensions', '6 x 3 x 17.5 cm'), ('Item model number', 'C50HI'), ('Compatible Devices', 'Audio Player , Laptop, Mobile, Tablet'), ('Additional Features', 'with microphone'), ('Included Components', '1 x C50HI Headphone, 3 x Ears tips, Warranty card &amp; Safety card'), ('Number Of Items', '1'), ('Microphone Form Factor', 'With Microphone'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Connector Type', 'Wired'), ('Has Self Timer', 'No')],)",500.00 (50%)
6% of reviews have 1 stars,2% of reviews have 2 stars,7% of reviews have 3 stars,26% of reviews have 4 stars,59% of reviews have 5 stars,"Presenting the new and upgraded, realme buds 2 with an ultra big 11.2mm bass driver which gives you a powerful bass. The big bass driver consists of multi-layer composite diaphragm and Japan Daikoku Voice Coil technology for ultimate bass experience. realme buds 2 also features a 3 button remote with a mic, so you can control your music, videos and incoming calls. Say goodbye to tangled earphones, as the realme buds 2 features a tangle-free design with built-in strap and magnets, which make it super easy to store. Adding a touch of elegance to the ultimate sound experience, the realme buds 2 also features a premium matte design with realme's distinctive logo and colours which will surely stand-out from the crowd.",799.00,Realme Buds 2 Headphone Information,599.00,4.3 out of 5 stars,"21,339 ratings",Realme Buds 2 with Mic for Android Smartphones (Black),https://www.amazon.in/Realme-Buds-Android-Smartphones-Black/dp/B07XMFDHSG/ref=sr_1_23?dchild=1&qid=1594237116&s=electronics&sr=1-23&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'realme'), ('Model', 'RMA155-2'), ('Model Name', 'realme buds 2'), ('Item Weight', '13.6 g'), ('Product Dimensions', '140 x 0.5 x 0.5 cm'), ('Batteries:', '1 A batteries required.'), ('Item model number', 'RMA155-2'), ('Hardware Platform', 'Smartphone'), ('Additional Features', 'wired-3.5mm single pin, with microphone'), ('Included Components', '1 Realme Buds 2, 6 Differently Sized Silicon Ear Tips(2 already on the buds), 1 User Guide'), ('Microphone Form Factor', 'with microphone'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'No'), ('Batteries Required', 'No'), ('Battery Cell Composition', 'Lithium'), ('Connector Type', 'Wired'), ('Includes AC Adapter', 'No')],)",200.00 (25%)
11% of reviews have 1 stars,6% of reviews have 2 stars,12% of reviews have 3 stars,27% of reviews have 4 stars,44% of reviews have 5 stars,"Enjoy immersive Infinity signature sound with the new Glide 120, a premium wireless neckband from the house of HARMAN. It’s loaded with features and designed for high performance. Glide 120 is apt for people who enjoy listening to music for longer durations. It comes with 7 hours of playtime, so listen to your favourite song on loop or explore new playlists with ease and comfort. It pumps out top quality music with deep bass sound for that superior audio experience as it is equipped with a 12 MM driver. What more? Glide 120 comes with Dual equalizer that helps you switch between normal music mode and deep bass mode effortlessly. Now go ahead and experience that music thump like never before. Enjoy the dynamic and sonorous sound that comes only with the signature products from the house of HARMAN!","3,199.00",Infinity Headphone Information,"1,399.00",3.9 out of 5 stars,"1,550 ratings","Infinity (JBL) Glide 120 Metal in-Ear Wireless Earphones, with Bluetooth 5.0 and IPX5 Sweatproof (Black and Yellow)",https://www.amazon.in/Infinity-Glide-120-Earphones-Sweatproof/dp/B082MDMW3X/ref=sr_1_17?dchild=1&qid=1594237116&s=electronics&sr=1-17&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Infinity'), ('Model', 'Glide 120'), ('Model Name', 'Glide'), ('Item Weight', '195 g'), ('Product Dimensions', '16.5 x 3 x 14.3 cm'), ('Batteries:', '1 Lithium Polymer batteries required. (included)'), ('Item model number', 'Glide 120'), ('Compatible Devices', 'Android &amp; IOS'), ('Additional Features', 'Earbud, Neckband, In-Ear'), ('Included Components', 'Glide 120 Wireless In-Ear, 3 Set sleeves, USB charging cable, User Manual'), ('Headphones Form Factor', 'In Ear'), ('Voltage', '3.7 Volts'), ('Batteries Included', 'Yes'), ('Batteries Required', 'No'), ('Battery Cell Composition', 'Polymer'), ('Battery Power', '85'), ('Connector Type', 'Bluetooth'), ('Supported Standards', 'V5.0'), ('Material', 'Metal')],)","1,800.00 (56%)"
19% of reviews have 1 stars,9% of reviews have 2 stars,12% of reviews have 3 stars,23% of reviews have 4 stars,37% of reviews have 5 stars,"Introducing the all new Redmi Earbuds S, a true wireless experience designed for your comfort & give you a truly cordless freedom. Delivering a very strong battery life of 12 hrs that gives you uninterrupted freedom to enjoy your music & pick calls.","2,390.00",Product information,"1,799.00",3.5 out of 5 stars,"2,514 ratings","Redmi Earbuds S, Punchier Sound,Up to 12 Hours of Playback time, IPX4 Sweat & Splash Proof& DSP Environmental Noise Cancellation",https://www.amazon.in/Redmi-Punchier-Playback-Environmental-Cancellation/dp/B0892QBCW5/ref=sr_1_19?dchild=1&qid=1594237116&s=electronics&sr=1-19&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Brand', 'Redmi'), ('Model', 'TWSEJ05LS'), ('Model Name', 'Redmi Earbuds S'), ('Item Weight', '36.3 g'), ('Product Dimensions', '2.7 x 1.6 x 2.2 cm'), ('Batteries:', 'Lithium ion batteries required. (included)'), ('Item model number', 'TWSEJ05LS'), ('Compatible Devices', 'Android , iOS, Windows devices'), ('Additional Features', 'Ultralight weight earbuds, micro USB charging, Easy to carry, Low latency mode, Bluetooth 5.0, Easy button controls, works with voice assistant, DSP Environmental noise cancellation'), ('Included Components', 'Bluetooth earphones 2U, User Manual 1U, Charging case 1U, Eartips 6U( 3 pairs S/M/L)'), ('Headphones Form Factor', 'In Ear'), ('Batteries Included', 'Yes'), ('Batteries Required', 'Yes'), ('Battery Cell Composition', 'Lithium Ion'), ('Battery Power', '300'), ('Connector Type', 'Bluetooth Wireless'), ('Supported Standards', 'HFP/A2DP/HSP/AVRCP')],)",591.00 (25%)
23% of reviews have 1 stars,7% of reviews have 2 stars,13% of reviews have 3 stars,20% of reviews have 4 stars,36% of reviews have 5 stars,,600.00,pTron HBE6 Headphone Information,199.00,3.4 out of 5 stars,"3,181 ratings",pTron HBE6 Headphone (High Bass Earphones) Metal in-Ear Wired Headset with Mic for All Smartphones (Red & Black),https://www.amazon.in/PTron-HBE6-Headphone-Earphone-Headset/dp/B07D4CN9T7/ref=sr_1_15?dchild=1&qid=1594237116&s=electronics&sr=1-15&x=10&y=7,Appario Retail Private Ltd,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1,"([('Item Weight', '27.2 g'), ('Product Dimensions', '18 x 2.2 x 7 cm'), ('Item model number', 'HBE6'), (' Connectivity technologies ', 'Wired'), (' Special features ', 'wired-3.5mm single pin, Wired, with microphone'), (' Weight ', '27.2 Grams'), (' Colour ', 'Red &amp; Black'), (' Whats in the box ', 'Headset')],)",401.00 (67%)
