Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
MSC FEBE,Panama,3EXK8,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
MSC GULSUN,Panama,3FTV6,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
OCEANIA,Belgium,ONJP,Crude Oil Tanker,Tanker,2003,234006,234006,380 / 68
EUROPE,Belgium,ONCP,Crude Oil Tanker,Tanker,2002,234006,234006,380 / 68
PRELUDE,Australia,VNKL,Offshore Support Vessel,Other type (HAZ-A),2017,499167,499167,488 / 74
MSC SIXIN,Panama,HP2652,Container Ship,Cargo ship,2019,228741,228741,400 / 61
MSC NELA,Panama,HP7585,Container Ship,Cargo ship,2019,228741,228741,400 / 61
FSO AFRICA,Marshall Islands,V7IJ5,FSO,Tanker,2002,236638,236638,378 / 68
FSO ASIA,Marshall Islands,V7QR6,FSO,Tanker,2002,236638,236638,380 / 68
PIONEERING SPIRIT,Malta,9HA4112,Crane Ship,Other type,2014,403342,403342,477 / 124
HMM ALGECIRAS,Panama,3EDF2,Container Ship,Cargo ship,2020,228283,228283,400 / 61
MSC ARINA,Panama,H9BV,Container Ship,Cargo ship (HAZ-B),2019,228741,228741,400 / 61
MSC ISABELLA,Panama,HP3521,Container Ship,Cargo ship (HAZ-A),2019,228741,228741,400 / 61
HMM OSLO,Panama,3EQD3,Container Ship,Cargo ship,2020,232311,232311,400 / 62
MSC SAMAR,Panama,3FKE9,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
MSC MIA,Panama,HP6643,Container Ship,Cargo ship,2019,232618,232618,400 / 62
MSC LENI,Panama,3FPV5,Container Ship,Cargo ship,2019,232618,232618,400 / 62
MSC MINA,Panama,3ENB2,Container Ship,Cargo ship,2019,228741,228741,400 / 61
SYMPHONY OF THE SEAS,Bahamas,C6DF6,Passenger (Cruise) Ship,Passenger ship,2018,228081,228081,361 / 47
MSC AMBRA,Panama,3FKB,Container Ship,Cargo ship,2020,232618,232618,400 / 62
OASIS OF THE SEAS,Bahamas,C6XS7,Passenger (Cruise) Ship,Passenger ship,2009,226838,226838,360 / 61
HARMONY OF THE SEAS,Bahamas,C6BX8,Passenger (Cruise) Ship,Passenger ship,2016,226963,226963,362 / 47
COSCO GALAXY,Hong Kong,VRSJ9,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
EVER GREET,Panama,3FLF4,Container Ship,Cargo ship,2019,219688,219688,400 / 59
EGINA FPSO,Nigeria,5NMX3,Offshore Support Vessel,Other type,2017,219830,219830,330 / 61
ALLURE OF THE SEAS,Bahamas,C6XS8,Passenger (Cruise) Ship,Passenger ship,2010,225282,225282,360 / 61
EVER GLOBE,Panama,3FWU2,Container Ship,Cargo ship,2019,219775,219775,400 / 59
EVER GLORY,Liberia,D5TO4,Container Ship,Cargo ship,2019,219775,219775,400 / 59
EVER GOLDEN,Panama,H9TK,Container Ship,Cargo ship (HAZ-A),2018,217612,217612,400 / 59
EVER GENTLE,Liberia,D5TG9,Container Ship,Cargo ship,2019,217612,217612,400 / 59
EVER GIVEN,Panama,H3RC,Container Ship,Cargo ship (HAZ-C),2018,219079,219079,400 / 59
CMACGM LOUIS BLERIOT,Malta,9HA4811,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,399 / 59
CMA CGM ST EXUPERY,France,FJZP,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,400 / 59
EVER GOODS,Panama,3FRV5,Container Ship,Cargo ship (HAZ-A),2018,217612,217612,400 / 59
CMA CGM JEAN MERMOZ,Malta,9HA4798,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,400 / 59
EVER GIFTED,Singapore,9V5825,Container Ship,Cargo ship,2018,219352,219352,400 / 59
EVER GENIUS,Panama,3FJU4,Container Ship,Cargo ship,2018,219400,219400,400 / 59
EVER GOVERN,Panama,HPUI,Container Ship,Cargo ship,2019,219688,219688,400 / 59
COSCO NEBULA,Hong Kong,VRRW8,Container Ship,Cargo ship (HAZ-A),2018,215553,215553,400 / 59
EVER GRADE,Panama,3FZS6,Container Ship,Cargo ship,2019,219158,219158,400 / 59
COSCO UNIVERSE,Hong Kong,VRRP4,Container Ship,Cargo ship (HAZ-A),2018,215553,215553,400 / 59
MARSEILLE MAERSK,Denmark,OWPU2,Container Ship,Cargo ship (HAZ-D),2018,214286,214286,399 / 59
MUNICH MAERSK,Denmark,OWCH2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
MILAN MAERSK,Denmark,OWGK2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
MONACO MAERSK,Denmark,OWNL2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
MOSCOW MAERSK,Denmark,OWCM2,Container Ship,Cargo ship,2017,214286,214286,399 / 59
MADRID MAERSK,Denmark,OWMD2,Container Ship,Cargo ship,2017,214286,214286,399 / 59
COSCO PLANET,Hong Kong,VRSU6,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
COSCO SHIPPING STAR,Hong Kong,VRSQ4,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
COSCO SHIPPING SOLAR,Hong Kong,VRSO4,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
OOCL UNITED KINGDOM,Hong Kong,VRQZ8,Container Ship,Cargo ship (HAZ-A),2017,210890,210890,400 / 59
MANCHESTER MAERSK,Denmark,OWAV2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
OOCL INDONESIA,Hong Kong,VRRH6,Container Ship,Cargo ship,2018,210890,210890,400 / 59
MANILA MAERSK,Denmark,OWPP2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
MAASTRICHT MAERSK,Denmark,OWSE2,Container Ship,Cargo ship,2019,214286,214286,399 / 59
OOCL GERMANY,Hong Kong,VRQS3,Container Ship,Cargo ship,2017,210890,210890,400 / 59
OOCL SCANDINAVIA,Hong Kong,VRRB8,Container Ship,Cargo ship,2017,210890,210890,400 / 59
OOCL JAPAN,Hong Kong,VRQX5,Container Ship,Cargo ship,2017,210890,210890,400 / 59
MOL TREASURE,Panama,3EUO7,Container Ship,Cargo ship (HAZ-A),2018,210691,210691,400 / 59
OOCL HONG KONG,Hong Kong,VRQL9,Container Ship,Cargo ship,2017,210890,210890,400 / 59
MUMBAI MAERSK,Denmark,OWNQ2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
MURCIA MAERSK,Denmark,OWTB2,Container Ship,Cargo ship,2018,214286,214286,399 / 59
ORE TIANJIN,Hong Kong,VRRK6,Bulk Carrier,Cargo ship,2018,203951,203951,362 / 65
ORE XIAMEN,Hong Kong,VRRL5,Bulk Carrier,Cargo ship,2018,203951,203951,362 / 65
ORE GUANGZHOU,Hong Kong,VRRL3,Bulk Carrier,Cargo ship,2018,203953,203953,362 / 65
Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
PRELUDE,Australia,VNKL,Offshore Support Vessel,Other type (HAZ-A),2017,499167,499167,488 / 74
OCEANIA,Belgium,ONJP,Crude Oil Tanker,Tanker,2003,234006,234006,380 / 68
FSO AFRICA,Marshall Islands,V7IJ5,FSO,Tanker,2002,236638,236638,378 / 68
MSC NELA,Panama,HP7585,Container Ship,Cargo ship,2019,228741,228741,400 / 61
FSO ASIA,Marshall Islands,V7QR6,FSO,Tanker,2002,236638,236638,380 / 68
PIONEERING SPIRIT,Malta,9HA4112,Crane Ship,Other type,2014,403342,403342,477 / 124
HMM OSLO,Panama,3EQD3,Container Ship,Cargo ship,2020,232311,232311,400 / 62
MSC ISABELLA,Panama,HP3521,Container Ship,Cargo ship (HAZ-A),2019,228741,228741,400 / 61
EUROPE,Belgium,ONCP,Crude Oil Tanker,Tanker,2002,234006,234006,380 / 68
MSC LENI,Panama,3FPV5,Container Ship,Cargo ship,2019,232618,232618,400 / 62
MSC MINA,Panama,3ENB2,Container Ship,Cargo ship,2019,228741,228741,400 / 61
MSC AMBRA,Panama,3FKB,Container Ship,Cargo ship,2020,232618,232618,400 / 62
MSC SAMAR,Panama,3FKE9,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
MSC MIA,Panama,HP6643,Container Ship,Cargo ship,2019,232618,232618,400 / 62
MSC GULSUN,Panama,3FTV6,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
MSC FEBE,Panama,3EXK8,Container Ship,Cargo ship (HAZ-A),2019,232618,232618,400 / 62
MSC SIXIN,Panama,HP2652,Container Ship,Cargo ship,2019,228741,228741,400 / 61
OASIS OF THE SEAS,Bahamas,C6XS7,Passenger (Cruise) Ship,Passenger ship,2009,226838,226838,360 / 61
CMACGM LOUIS BLERIOT,Malta,9HA4811,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,399 / 59
HMM ALGECIRAS,Panama,3EDF2,Container Ship,Cargo ship,2020,228283,228283,400 / 61
HARMONY OF THE SEAS,Bahamas,C6BX8,Passenger (Cruise) Ship,Passenger ship,2016,226963,226963,362 / 47
EVER GREET,Panama,3FLF4,Container Ship,Cargo ship,2019,219688,219688,400 / 59
EVER GIFTED,Singapore,9V5825,Container Ship,Cargo ship,2018,219352,219352,400 / 59
EVER GOVERN,Panama,HPUI,Container Ship,Cargo ship,2019,219688,219688,400 / 59
SYMPHONY OF THE SEAS,Bahamas,C6DF6,Passenger (Cruise) Ship,Passenger ship,2018,228081,228081,361 / 47
CMA CGM ST EXUPERY,France,FJZP,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,400 / 59
EVER GENIUS,Panama,3FJU4,Container Ship,Cargo ship,2018,219400,219400,400 / 59
COSCO NEBULA,Hong Kong,VRRW8,Container Ship,Cargo ship (HAZ-A),2018,215553,215553,400 / 59
COSCO GALAXY,Hong Kong,VRSJ9,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
EVER GOLDEN,Panama,H9TK,Container Ship,Cargo ship (HAZ-A),2018,217612,217612,400 / 59
EVER GENTLE,Liberia,D5TG9,Container Ship,Cargo ship,2019,217612,217612,400 / 59
EVER GRADE,Panama,3FZS6,Container Ship,Cargo ship,2019,219158,219158,400 / 59
CMA CGM JEAN MERMOZ,Malta,9HA4798,Container Ship,Cargo ship (HAZ-A),2018,219277,219277,400 / 59
EVER GLORY,Liberia,D5TO4,Container Ship,Cargo ship,2019,219775,219775,400 / 59
ALLURE OF THE SEAS,Bahamas,C6XS8,Passenger (Cruise) Ship,Passenger ship,2010,225282,225282,360 / 61
EVER GOODS,Panama,3FRV5,Container Ship,Cargo ship (HAZ-A),2018,217612,217612,400 / 59
EGINA FPSO,Nigeria,5NMX3,Offshore Support Vessel,Other type,2017,219830,219830,330 / 61
MARSEILLE MAERSK,Denmark,OWPU2,Container Ship,Cargo ship (HAZ-D),2018,214286,214286,399 / 59
EVER GIVEN,Panama,H3RC,Container Ship,Cargo ship (HAZ-C),2018,219079,219079,400 / 59
MADRID MAERSK,Denmark,OWMD2,Container Ship,Cargo ship,2017,214286,214286,399 / 59
MAASTRICHT MAERSK,Denmark,OWSE2,Container Ship,Cargo ship,2019,214286,214286,399 / 59
MILAN MAERSK,Denmark,OWGK2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
MUNICH MAERSK,Denmark,OWCH2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
COSCO UNIVERSE,Hong Kong,VRRP4,Container Ship,Cargo ship (HAZ-A),2018,215553,215553,400 / 59
EVER GLOBE,Panama,3FWU2,Container Ship,Cargo ship,2019,219775,219775,400 / 59
COSCO SHIPPING STAR,Hong Kong,VRSQ4,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
OOCL UNITED KINGDOM,Hong Kong,VRQZ8,Container Ship,Cargo ship (HAZ-A),2017,210890,210890,400 / 59
OOCL JAPAN,Hong Kong,VRQX5,Container Ship,Cargo ship,2017,210890,210890,400 / 59
MANILA MAERSK,Denmark,OWPP2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
COSCO PLANET,Hong Kong,VRSU6,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
OOCL SCANDINAVIA,Hong Kong,VRRB8,Container Ship,Cargo ship,2017,210890,210890,400 / 59
OOCL INDONESIA,Hong Kong,VRRH6,Container Ship,Cargo ship,2018,210890,210890,400 / 59
OOCL GERMANY,Hong Kong,VRQS3,Container Ship,Cargo ship,2017,210890,210890,400 / 59
MUMBAI MAERSK,Denmark,OWNQ2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
MANCHESTER MAERSK,Denmark,OWAV2,Container Ship,Cargo ship (HAZ-A),2018,214286,214286,399 / 59
MOSCOW MAERSK,Denmark,OWCM2,Container Ship,Cargo ship,2017,214286,214286,399 / 59
MURCIA MAERSK,Denmark,OWTB2,Container Ship,Cargo ship,2018,214286,214286,399 / 59
MOL TRUTH,Panama,3FBJ9,Container Ship,Cargo ship (HAZ-A),2017,210691,210691,400 / 59
MONACO MAERSK,Denmark,OWNL2,Container Ship,Cargo ship (HAZ-A),2017,214286,214286,399 / 59
OOCL HONG KONG,Hong Kong,VRQL9,Container Ship,Cargo ship,2017,210890,210890,400 / 59
COSCO SHIPPING SOLAR,Hong Kong,VRSO4,Container Ship,Cargo ship (HAZ-A),2019,215553,215553,400 / 59
ORE HONGKONG,Hong Kong,VRRK5,Bulk Carrier,Cargo ship,2018,203953,203953,362 / 65
ORE XIAMEN,Hong Kong,VRRL5,Bulk Carrier,Cargo ship,2018,203951,203951,362 / 65
ORE SHENZHEN,Hong Kong,VRRL2,Bulk Carrier,Cargo ship,2018,203953,203953,362 / 65
ORE GUANGZHOU,Hong Kong,VRRL3,Bulk Carrier,Cargo ship,2018,203953,203953,362 / 65
ORE TIANJIN,Hong Kong,VRRK6,Bulk Carrier,Cargo ship,2018,203951,203951,362 / 65
PACIFIC EXCELLENCE,Hong Kong,VRRI8,Bulk Carrier,Unknown,2019,203982,203982,362 / 65
PACIFIC UNITY,Hong Kong,VRRJ4,Bulk Carrier,Cargo ship,2018,204014,204014,362 / 65
PACIFIC HARVEST,Hong Kong,VRRJ8,Bulk Carrier,Cargo ship,2018,204014,204014,362 / 65
PACIFIC AUSPICE,Hong Kong,VRRK3,Bulk Carrier,Cargo ship,2019,203985,203985,362 / 65
PACIFIC VISION,Hong Kong,VRRJ5,Bulk Carrier,Cargo ship,2018,204014,204014,362 / 65
PFLNG SATU,Malaysia,9WJY6,Offshore Support Vessel,Other type (HAZ-A),2016,204818,204818,365 / 74
MOL TRIUMPH,Marshall Islands,V7FQ8,Container Ship,Cargo ship (HAZ-A),2017,210678,210678,400 / 59
MOL TRADITION,Marshall Islands,V7WF4,Container Ship,Cargo ship (HAZ-A),2017,210678,210678,400 / 59
MOL TREASURE,Panama,3EUO7,Container Ship,Cargo ship (HAZ-A),2018,210691,210691,400 / 59
